horizon,mse,std_mse,mae,std_mae,nmse,std_nmse,nmae,std_nmae,mase,std_mase
1,1815576.1920680567,58350561.160573594,191.90043134435658,1333.6980255468347,0.387545427208269,1.5430796306549686,0.3525439094446439,0.5130869506945893,1.1300770862478924,1.9565588579872581
2,3718038.7390366644,120924891.46279876,238.55469686077163,1913.4080593781173,1.4264525828318204,74.25161559136205,0.42100309283782933,1.1176801853928855,1.325602864324992,2.7845776689484265
3,3191389.580577522,103289418.19170025,222.15774023484303,1772.5787829590724,0.4296442506817779,1.9688915959591662,0.3646657246356402,0.544667935195756,1.172790091925583,2.028773396309631
4,3495437.0081476155,164467990.59492117,218.49838245866283,1856.7970982936577,0.4781127103520099,4.793821184573104,0.3640614360190579,0.5878537054576113,1.1696392732468137,2.102383808892986
5,3766396.603163192,169955051.9671415,210.59585430146177,1929.260481503118,1.1846581485009426,82.77431780841479,0.35390263563781915,1.0292769641504445,1.1471289761807977,4.541294319934085
6,3140257.361909897,126526611.15087642,203.02342439491972,1760.4087107176936,0.648379229485278,28.786139409986035,0.33340507351917253,0.7329531297373651,1.0825146456943597,2.5286194998331886
7,3792715.686676252,172543678.90699846,210.3657440690151,1936.094513514449,0.654987962389924,26.432565888869597,0.3456128496528533,0.7318057916706613,1.1175343669752849,2.578883607003081
8,3366440.0751857175,121401574.54704073,213.6056194584232,1822.3097257842335,0.6612025810775299,26.23680203119443,0.35472740138865205,0.7316905411036729,1.1460469896038592,2.588921548753669
9,2227433.6921279654,71300549.94913982,201.40564342199858,1478.8067677319248,0.9434037780944919,42.432829449596156,0.3652399190467633,0.9000019898679178,1.1743305271238749,2.9803028396688442
10,4485581.5971722985,159012222.65409958,227.07231008866523,2105.711218914493,0.7631079136369247,26.984592013916256,0.3664072014458769,0.7930029473282876,1.1645884191181761,2.6641546996872383
11,4343544.859932902,160899927.6162934,231.05056314402108,2071.270275140212,0.7823813680398813,30.321135162471,0.3620978605943736,0.8070108463964403,1.1576325071398164,2.715023140778145
12,2938193.6967409537,81239151.00544438,218.50934579439252,1700.1315808302827,0.7963560887183858,29.017664229681976,0.357946819315708,0.8174534624620842,1.1428200613701258,2.763094609174585
13,1999019.508806614,75190338.01298943,193.6479151689432,1400.5427517176245,0.892181606873556,41.38649647875034,0.3454573287540794,0.8791136735752948,1.1048909173253136,2.8720775517167274
14,1544492.0805176133,48016348.880130515,181.6250299544692,1229.4325722381993,0.7734897290171135,35.114808324486035,0.32512822514794537,0.8171789045946588,1.0479765847615599,2.687059815896212
15,1388957.8844955668,34907869.83593535,186.84621375509226,1163.6349918314747,0.8039910505521717,37.01281340735325,0.3354148834442994,0.8315575164901308,1.078788463656692,2.736388983125178
16,2451180.3637071652,91934425.73136343,203.0223460340283,1552.4053298708475,0.8711752772514639,41.16811604869739,0.34373618945190787,0.8677676588564325,1.0974992002524029,2.785120704216698
17,1893590.9497364007,63605895.1142308,191.1108914450036,1362.7426628990386,0.859048967211698,40.13343676298519,0.3452163650331655,0.8601596532855925,1.0931308790484064,2.7834331666020473
18,1742102.1087946321,58682962.57294345,189.2213036184999,1306.253199723984,0.9009176517859002,40.16745942679821,0.3502027324809929,0.8821993514265383,1.1037980540773444,2.8946312875121185
19,2367066.725796789,96391575.27650617,197.470884255931,1525.8020832647649,0.8949109514628378,39.5166687603625,0.3503075282489595,0.8787466014589859,1.102361101183617,2.769715271076235
20,3101958.1002875627,124777555.57524395,210.2667145938174,1748.6411905291236,0.9284568237542729,40.36447561972132,0.3661014357039558,0.8913060981420031,1.159996900961495,2.861531251924768
21,1791094.5863886892,58647961.289548345,197.26881140666188,1323.6992203137718,0.9183437754902625,39.390643217046595,0.3612562404946323,0.8876022188644416,1.1544219452039788,2.8406875060548815
22,1503830.1889527917,43017028.66535128,188.6900910615864,1211.7038630984287,0.9111785235194372,41.186409786916286,0.34436117252454607,0.8902774380579002,1.1109361321475844,2.952069407147303
23,2325474.58692787,88690462.19477174,199.49071411454588,1511.8459021095432,0.9857965528506266,48.235743558316976,0.34340587955791335,0.9315948442321386,1.1104677947853963,3.181161046745278
24,2167482.8327941527,84585105.72685973,196.41295231248503,1459.0766936724726,0.9615527746075943,46.656295745567775,0.34500101409478195,0.917892742708741,1.1081854151588864,3.142583647315941
