horizon,mse,std_mse,mae,std_mae,nmse,std_nmse,nmae,std_nmae,mase,std_mase
1,641657.3229446922,24746258.498103872,98.6271998339404,794.9402548988287,2.517194773687613e+16,3.2206324252310354e+18,1239997.6625320471,158651854.38959873,1239997.9926123403,158651854.38701886
2,1296740.476493691,48757058.556651,125.92631824672219,1131.7610315844472,4.452996114171523e+16,5.697399273445498e+18,1649258.0436757698,211014793.68533054,1649258.4314356088,211014793.68229988
3,2252408.0418028655,112796636.73433578,142.06355321206343,1494.0635795463102,4.452996114171523e+16,5.697399273445498e+18,1649258.0552510712,211014793.6852401,1649258.4701241844,211014793.68199748
4,2737553.8512550043,124710134.39628556,151.39467139684916,1647.614478460721,4.452996114171523e+16,5.697399273445498e+18,1649258.062249309,211014793.68518537,1649258.489285629,211014793.68184775
5,2586762.6779525797,122448304.59880246,147.1872782504855,1601.5925175372247,4.452996114171523e+16,5.697399273445498e+18,1649258.0624777277,211014793.68518358,1649258.4897534254,211014793.6818441
6,1820634.2955062657,87173278.70219857,137.6038192627404,1342.273988678299,4.452996114171523e+16,5.697399273445498e+18,1649258.0618662303,211014793.68518838,1649258.4929349532,211014793.6818192
7,1523534.1877194413,53236516.63952229,137.92702089344294,1226.584821152344,4.452996114171523e+16,5.697399273445498e+18,1649258.0688497417,211014793.6851338,1649258.5185374746,211014793.6816191
8,1185194.5310364855,41100681.660745904,134.7250774560826,1080.297956409713,4.519210905971611e+16,5.782117987996488e+18,1661474.7662678051,212577862.199824,1661475.2248670617,212577862.19623968
9,822719.0524298641,27047747.428576626,125.77827324136744,898.275499671316,4.501252135456685e+16,5.574641314470608e+18,1930242.6787706814,212152760.89211872,1930243.1409401912,212152760.88791373
10,1067388.5394588641,42131336.08538181,131.53588300466785,1024.7374507583088,4.447132083219214e+16,5.374302154826104e+18,2040193.2647195612,210872379.62573195,2040193.7323395123,210872379.6212077
11,1549709.6962021093,75167313.40776052,136.05589084796074,1237.4160568562888,4.542666787997092e+16,5.456556665978827e+18,2150143.7570478567,213124484.73095635,2150144.226310092,213124484.7262221
12,2353332.3400725997,96022550.52354404,149.8366735036441,1526.7224068423807,4.510475806259816e+16,5.415442708880323e+18,2144035.4160423605,212367988.05123982,2144035.892440196,212367988.04643017
13,3291775.604677867,146441820.63153774,154.38866818427428,1807.7443726204606,4.4862867116379144e+16,5.375095073963264e+18,2144035.4416469852,211797715.33092082,2144035.908638491,211797715.32619348
14,2279391.33652749,88133237.15890999,147.4092180935568,1502.5517789298515,4.164437474528319e+16,4.973562644987264e+18,2076843.4676847027,204058964.56124744,2076843.927147044,204058964.5565712
15,2158965.950304912,71399773.05062637,150.06868046180264,1461.65842353984,4.072628421514409e+16,4.856351659061155e+18,2058518.3096942382,201797041.62055856,2058518.7845934918,201797041.61571413
16,2121361.2596446383,74949179.69062711,149.4267634725492,1448.8039493842737,4.144890715321297e+16,4.973400781685803e+18,2027976.5794643774,203579945.01535043,2027977.0615225362,203579945.01054835
17,1671224.589629798,62737647.4839456,144.37391199157435,1284.6714531236296,4.203164596525885e+16,5.013600811781152e+18,2089060.2055682377,205005560.2208517,2089060.6971797484,205005560.21584204
18,2002193.2747407334,80085444.43204635,151.18369319886617,1406.8890340648584,4.226253736249792e+16,5.052489023498777e+18,2089060.176282057,205567932.39720023,2089060.6766571421,205567932.39211524
19,2375732.0085155643,93123231.15384187,161.82809702580096,1532.8221338400695,4.490929047052794e+16,5.415294178307479e+18,2095168.5252318366,211907767.4614829,2095169.0289537783,211907767.4565025
20,1786415.4212009097,57221951.13346952,156.84410392281248,1327.33392322708,4.705454954846795e+16,5.664484087346762e+18,2180685.6356309443,216909646.6499457,2180686.1462698383,216909646.64481205
21,1482286.8514888745,68038026.3664468,143.14042474310995,1209.0482499373297,4.779304982129593e+16,5.749323931361268e+18,2199010.699139418,218605155.67210847,2199011.197530986,218605155.66709504
22,1291651.6347081899,45372698.22987225,140.0510199376028,1127.846333827101,4.804593601811701e+16,5.791125129887304e+18,2199010.663869549,219182798.67945287,2199011.1601203727,219182798.67447406
23,1863702.864994064,62952203.3713125,153.15281981640837,1356.557076319111,4.804593601811701e+16,5.791125129887304e+18,2199010.664738163,219182798.67944413,2199011.1664065495,219182798.674411
24,1828869.2352016591,57812829.84422453,153.25127183957758,1343.6455253732124,4.785046842604679e+16,5.79098633431888e+18,2150143.7690617903,218736929.1443308,2150144.281973394,218736929.13928896
25,1927554.4053847354,63966293.22125579,155.8367804689651,1379.5902652521113,5.490929244326537e+16,5.857268171653726e+18,2846497.116548905,234310027.39175072,2846497.645816422,234310027.38532093
26,2153207.475787187,68037333.71888754,167.97824891714845,1457.7348120563306,7.506261025913378e+16,6.739433479882111e+18,3487875.1189431725,273953361.5982222,3487875.653455241,273953361.591417
27,3911458.070410983,147571969.2203192,185.5776184753888,1969.014730272537,6.54920287953465e+16,6.206281315735346e+18,3231323.907081735,255893701.76774368,3231324.45318245,255893701.76084772
28,4563803.248878271,182503694.0354368,195.8802995829946,2127.306781916492,7.272433111234994e+16,6.595791719414716e+18,3426791.5119164824,269652713.83492947,3426792.077192513,269652713.82774585
29,3792734.814416635,147116043.78202656,187.8722654027658,1938.4114258371617,5.139087511437983e+16,5.80688957342675e+18,2651029.502349497,226680052.38491914,2651030.054450338,226680052.37846228
30,3595821.68476807,123226268.76411256,189.65399604868665,1886.7572944713286,5.797691175097875e+16,5.92719932794133e+18,2980881.0980252693,240765498.6468789,2980881.648529648,240765498.6400632
31,3894979.658623451,132607619.90032612,184.7773628832621,1964.9012648592754,5.139087511437983e+16,5.80688957342675e+18,2651029.50176917,226680052.38492593,2651030.052275179,226680052.37848774
32,2858194.0232938863,106331251.98195162,169.057082362701,1682.1455735788002,5.139087511437983e+16,5.80688957342675e+18,2651029.499712202,226680052.38494998,2651030.0457963436,226680052.37856352
33,2977232.441937669,119660309.37388371,175.65331384116354,1716.5017833701731,5.05479213040753e+16,5.799945250581083e+18,2589945.884813225,224813727.96814305,2589946.4500548257,224813727.96163124
34,3258837.6754732714,136460447.78518817,179.97887722565602,1796.2308600438232,4.793415065690593e+16,5.544518041194621e+18,2498320.4362861346,218924436.25221866,2498321.006109097,218924436.24571595
35,2493761.6326192664,105857244.31840669,170.79608173004382,1569.9013680882185,4.760674334855644e+16,5.424875029939288e+18,2534970.6407526964,218174971.93402,2534971.2123403098,218174971.92737874
36,3489669.4985371903,120066017.18623081,184.08828609542107,1858.973107621413,4.741127575648622e+16,5.424726847779407e+18,2486103.7450649324,217727113.94677266,2486104.323234757,217727113.94017085
