horizon,mse,std_mse,mae,std_mae,nmse,std_nmse,nmae,std_nmae,mase,std_mase
1,0.0831257861902183,0.4422849787294327,0.10639595861236255,0.26796582564546795,1.0959765545012488,2.6073587917517536,0.7039299355043719,0.7748930310092893,3.454254537510375,5.438738507573346
2,0.075867841294554,0.3503931989037435,0.11209392050902049,0.25160046850736867,1.4042031113376652,3.6238358401507256,0.7819586542706626,0.8903616032242782,3.6922276980088404,5.778639018012877
3,0.0873674412822029,0.31223599386326767,0.1255479802687963,0.2675913758726743,1.3693461311646236,2.987897876708346,0.7608875209213389,0.8890423480944171,3.8117451089201495,5.653962565248637
4,0.1085841729857308,0.3771264949638898,0.13841049621502557,0.2990429884606089,1.5227913917162823,4.00174193926265,0.7959933723905124,0.9429665749248164,4.259953675578193,6.395599440621365
5,0.10331401869696914,0.3695199320419686,0.13928329882522425,0.2896794517396001,1.4526258334175566,3.3246849438038404,0.8193438550564073,0.8839125894876154,4.440637681710844,6.124756278595526
6,0.07088481651559538,0.20287799472224546,0.12379805246988933,0.23570926574225837,1.3139968453609374,2.688653394971281,0.7733170181551637,0.846154622068803,4.076119370448093,5.390240264702397
7,0.04859164580947706,0.11791508020849015,0.11169387027621269,0.1900424290271779,1.1759972956007612,1.9490565967319196,0.818982618812394,0.7108197802536342,3.8595584896199093,4.571997653264499
8,0.03735354980491697,0.11814725178309254,0.092893751959006,0.1694824489227476,0.8872353912765902,1.407718643846277,0.6893306653364561,0.641917937753246,3.245357828680426,3.9750802419634415
9,0.032800513359745764,0.10851717448925444,0.08887944184243679,0.15780037216348014,1.1289363209446794,2.0482777814464987,0.7456892745103687,0.7568908916583985,3.1813968991239867,3.667635387242623
10,0.03390693021138228,0.10229926548659385,0.09572076052427292,0.15730373664065445,1.3330863805034217,2.0101443968141486,0.8349946964687357,0.7974147187045117,3.28238785189266,3.5050821097477396
11,0.028763934396382734,0.09108347207227838,0.08402914926409721,0.14731950224602053,1.312259123743085,2.402765916918185,0.7800295456933478,0.838935650136869,2.936437845152492,3.3030741635052556
12,0.030616077630289357,0.09388276535780862,0.08327270485460758,0.15388870683487307,1.0948340499620954,2.2506752988291425,0.7261364587854283,0.7533657177467674,2.965264588361606,3.4939290948364023
13,0.04180105588670813,0.10665836960145564,0.10637907187143962,0.1745982503322969,2.1486843850276878,6.820453652123662,0.9469248170110708,1.1189360066182779,4.193707483510177,6.453082799237675
14,0.05167162656494284,0.13532235758365482,0.11829797240595023,0.19410619708139934,2.9876313526586578,11.897565576835651,0.975647838555839,1.4267945419137222,4.687184970942326,8.293102516262579
15,0.044790972511994674,0.11392053247783951,0.1133814367155234,0.17870540785451566,2.272152215288467,6.923723630939445,0.9515672865866994,1.1690474311406016,4.512497301834325,7.127600163111743
16,0.03758979611676475,0.10224989899909132,0.10427088228364785,0.1634545172819939,1.5391355926828207,2.7653064895885864,0.8578628486914871,0.8962181359029529,3.908646251851072,5.330997417995468
17,0.037887158452273674,0.09823276587977722,0.10764763504266739,0.1621701117995444,1.4362696010351403,2.6494860423257367,0.8445648890143881,0.8502821533459478,4.158625198062509,5.4842339225929475
18,0.03262203783975792,0.08608613908407109,0.10402929037809372,0.14764804467598683,1.5458408810785234,2.477438369153216,0.9032273932825774,0.8544127518707685,4.05944742821157,4.921378097822073
19,0.02629324053683983,0.06421935668412938,0.09246246889233589,0.1332063527300359,1.1408295839551859,2.4669585665539264,0.7564283187675755,0.7540860550982643,3.8547080426166453,4.413453960567114
20,0.023070047602198922,0.06331843555588763,0.0875477883964777,0.12411862114235316,0.8953827126776256,1.2927787973926925,0.7404309295040244,0.5891899135319401,3.645553027590116,3.82121280435824
21,0.01932665485022274,0.05647377840468468,0.0793750137090683,0.11413265009014671,0.9224135459744502,1.3874195366982633,0.7531777056089292,0.5959336281423655,3.3608104682837925,3.5167441860191513
22,0.019639269397619803,0.05786882453528845,0.08005387894809246,0.11502454323662029,1.2058076205479058,2.3274174819233915,0.799129331872488,0.7531267732159438,3.3911658016343913,3.609991541800401
23,0.02257995850573143,0.06590588899851473,0.07918519899249077,0.12770929108717374,0.6527268908339465,0.8877139628103564,0.619147173090217,0.5190218379162218,3.031248651406107,3.634465030646267
24,0.031142570963501964,0.09235570472287417,0.09139364399015903,0.15096281989995933,0.8271599575697716,1.534992339847502,0.6480520600453019,0.6381132237163877,3.1519817950514457,3.806926358762043
