horizon,mse,std_mse,mae,std_mae,nmse,std_nmse,nmae,std_nmae,mase,std_mase
1,4.062086497924611e-06,4.5207622099884676e-06,0.0015845060348510741,0.0012455629436951478,0.0001430169097147882,0.00017706657746782074,0.00932635166682303,0.007485724727002192,0.037289879843592645,0.03065658469005409
2,6.566479990510743e-06,9.721092060926601e-06,0.001894235610961914,0.001725790083896029,0.0001568621732928932,0.00019535295342416588,0.009875780786387622,0.00770267011072047,0.04402016482781619,0.044603738689131936
3,4.449941627626686e-06,3.6347343954906884e-06,0.0018462061882019043,0.001020521572882082,0.00011322863101668191,7.596346342076796e-05,0.009913223888725042,0.0038673795065090923,0.03946124352514744,0.019983232663653323
4,3.808074907851733e-06,6.109897893609909e-06,0.0014417529106140136,0.0013150754661691493,8.866355901773204e-05,0.00012030683483576562,0.007675047358497977,0.005455016561310583,0.034262505173683164,0.03426800181974061
5,5.434729564512963e-06,4.61029349878106e-06,0.0021259963512420656,0.000956487890608326,0.0002048809652478667,0.00013799148484942888,0.01318116271868348,0.005580135251827962,0.04706017710268497,0.017570398161004287
6,2.679151714346517e-06,2.725913522865898e-06,0.0014397859573364257,0.000778568017773123,0.0001002032886390225,7.996006257839022e-05,0.008909354638308286,0.004563626763674148,0.03595578111708164,0.023112126896372587
7,1.308294710042901e-05,1.3532703104402454e-05,0.002942049503326416,0.0021041130375396987,0.0006472796418393045,0.0010408844070193077,0.018309527658857405,0.017664677557873692,0.0712383818347007,0.06358043217332673
8,6.037945971115732e-06,8.576429392868862e-06,0.0018814325332641602,0.0015805561045326038,0.0003896322884656911,0.0006548622816413845,0.01371683580800891,0.0141943897545128,0.05180761907249689,0.051593736611397406
9,9.621864489872677e-06,1.0195860116663568e-05,0.0025452613830566407,0.0017729942749476844,0.0004781187883054372,0.000656352403648356,0.016937962966039777,0.013828384189521745,0.06751521937549114,0.05568100958226894
10,1.3031211028646795e-05,1.5010373485649538e-05,0.0028635978698730467,0.0021979577045008083,0.00046250801340192994,0.0005028435006966837,0.01699656784767285,0.013176672249258963,0.07223122441209853,0.06220152118957513
11,2.8217150713771844e-06,2.834850179775839e-06,0.0014477789402008057,0.0008518516585084116,0.00014774378159927438,0.00022434938413460454,0.009388320753350854,0.00772031162737272,0.03550239177420735,0.02762277436845013
12,8.518721455175182e-06,9.59645172379936e-06,0.0023233175277709963,0.0017666117374224772,0.0004323249788285466,0.0006702500665513841,0.015084685944020747,0.014310039911768272,0.06109760608524084,0.05602259626172309
13,1.3857533599548332e-05,2.47397875325812e-05,0.0024171233177185058,0.0028310859745028813,0.0003421946787057095,0.0004903624074415153,0.013550063711591065,0.01259327012917209,0.06229410246014595,0.07327022285680065
14,5.148640696006623e-06,5.927907984730938e-06,0.00172501802444458,0.001474094162102509,9.491193341091276e-05,9.258672381561215e-05,0.008270526630803942,0.005148817652233576,0.0359617724083364,0.02963999509608975
15,6.840350260972628e-06,8.615819177289075e-06,0.002029156684875488,0.0016501131956358998,0.00016764919270002566,0.0001788037846843603,0.010512646974530072,0.0075586669613526515,0.04508963946718723,0.042365769422272076
16,6.105137657641535e-06,5.474643746534367e-06,0.0020531535148620604,0.001374662970129538,0.00020838690843447694,0.00026738395828374413,0.011557416804134846,0.008649452136965956,0.04518477264791727,0.03175533261715371
17,1.2807249271418187e-05,2.040407512916769e-05,0.002506446838378906,0.002554402825775787,0.00026512525600992377,0.000413175508466111,0.012248685862869025,0.01072823191139765,0.05678423829376698,0.06548855157466371
18,1.8929467216821648e-06,2.7649820494235425e-06,0.0010328412055969239,0.0009089476053991093,4.059651932948327e-05,5.4660112974678707e-05,0.005258650821633637,0.0035976533867313164,0.023615993186831476,0.02298966708603257
19,3.86650483790163e-06,5.9018321119260985e-06,0.001383209228515625,0.0013975825551349912,7.854857900611024e-05,0.00011928967908873807,0.006670124339871108,0.005835925223660179,0.03085453240200877,0.035406282004055024
20,3.5724863870711943e-06,5.0890727612862504e-06,0.00134851336479187,0.0013243859495576113,7.033075671643018e-05,0.00010214082663604164,0.006438603857532144,0.0053735590366903105,0.029931911360472442,0.032525492947035085
21,3.442689509824959e-06,4.102792638361471e-06,0.0014303743839263916,0.00118182854598335,7.493334055652667e-05,7.77164837985869e-05,0.007231550826691091,0.004757942097527129,0.03161723553203046,0.02795529136615204
22,3.406928783533658e-06,4.694289915782284e-06,0.0015262901782989503,0.001037962943359125,8.837322784529533e-05,8.749659454338932e-05,0.008526790421456099,0.00395816548221565,0.036190960183739664,0.027695622713485014
23,4.052201172299874e-06,5.662513453248608e-06,0.0015258371829986572,0.0013130202227605839,9.176916408932811e-05,0.00011089943138672678,0.007821509137284011,0.005531108370113836,0.035051351552829145,0.03340348206149239
24,9.157906714563068e-06,1.1275333817603029e-05,0.0024700403213500977,0.0017483727417495537,0.0002239296638435917,0.00022356692950419661,0.013147231191396713,0.007147025570155467,0.05566909089684487,0.04476752152910586
