dataset,model,metric,mean_value,mean_reference_value,mean_improvement_pct,configurations,reference_models
electricity,chronos2,nmse,0.2117639772409951,0.2117639772409951,0.0,2,chronos2
electricity,chronos_bolt,nmse,0.20631538748241168,0.2117639772409951,2.2564198420617956,2,chronos2
electricity,chronos_t5,nmse,0.2267853868918629,0.2117639772409951,-6.977693893713514,2,chronos2
electricity,ts_icl,nmse,0.2249403420857609,0.2117639772409951,-6.11761502036601,2,chronos2
exchange_rate,chronos2,nmse,27.168937579966705,27.168937579966705,0.0,2,chronos2
exchange_rate,chronos_bolt,nmse,27.523181846749505,27.168937579966705,-2.402715301072899,2,chronos2
exchange_rate,chronos_t5,nmse,42357538.96413258,27.168937579966705,-853539770.6323608,2,chronos2
exchange_rate,ts_icl,nmse,27.650324631739615,27.168937579966705,-15.70894136204525,2,chronos2
solar,chronos2,nmse,0.18789124021369816,0.18789124021369816,0.0,2,chronos2
solar,chronos_bolt,nmse,0.1715741828970478,0.18789124021369816,8.228396512367357,2,chronos2
solar,chronos_t5,nmse,0.2558225024376933,0.18789124021369816,-36.53405820092503,2,chronos2
solar,ts_icl,nmse,0.20723859091220512,0.18789124021369816,-10.35674977880917,2,chronos2
time/coastal_t_s_h_part01,chronos2,nmse,6.660917934971243,6.660917934971243,0.0,2,chronos2
time/coastal_t_s_h_part01,chronos_bolt,nmse,6.564846500203808,6.660917934971243,-10.178632324278988,2,chronos2
time/coastal_t_s_h_part01,chronos_t5,nmse,9.313279175833486,6.660917934971243,-151.38196233121758,2,chronos2
time/coastal_t_s_h_part01,ts_icl,nmse,6.501016758489641,6.660917934971243,5.653437504697369,2,chronos2
time/coastal_t_s_h_part02,chronos2,nmse,1.774213077711119,1.774213077711119,0.0,2,chronos2
time/coastal_t_s_h_part02,chronos_bolt,nmse,1.9645742660477048,1.774213077711119,-10.245526051097933,2,chronos2
time/coastal_t_s_h_part02,chronos_t5,nmse,9.21253690194516,1.774213077711119,-414.67824404078544,2,chronos2
time/coastal_t_s_h_part02,ts_icl,nmse,1.7192958963236638,1.774213077711119,3.2715228444974676,2,chronos2
time/coastal_t_s_h_part03,chronos2,nmse,1.1043218385487321,1.1043218385487321,0.0,2,chronos2
time/coastal_t_s_h_part03,chronos_bolt,nmse,1.3056504303175542,1.1043218385487321,-32.78653752049618,2,chronos2
time/coastal_t_s_h_part03,chronos_t5,nmse,7.692844583815526,1.1043218385487321,-1137.9408093331397,2,chronos2
time/coastal_t_s_h_part03,ts_icl,nmse,1.165574879370748,1.1043218385487321,-39.358576005976246,2,chronos2
time/coastal_t_s_h_part04,chronos2,nmse,16.290352873279662,16.290352873279662,0.0,2,chronos2
time/coastal_t_s_h_part04,chronos_bolt,nmse,16.213659729408267,16.290352873279662,-5.018173931893377,2,chronos2
time/coastal_t_s_h_part04,chronos_t5,nmse,16.239585305577023,16.290352873279662,-108.6173802605503,2,chronos2
time/coastal_t_s_h_part04,ts_icl,nmse,16.26774061907091,16.290352873279662,-1.596001861834766,2,chronos2
time/coastal_t_s_h_part05,chronos2,nmse,2.27680134724947,2.27680134724947,0.0,2,chronos2
time/coastal_t_s_h_part05,chronos_bolt,nmse,2.596027721439958,2.27680134724947,-23.424171467164392,2,chronos2
time/coastal_t_s_h_part05,chronos_t5,nmse,3.945982403272134,2.27680134724947,-143.61011242127626,2,chronos2
time/coastal_t_s_h_part05,ts_icl,nmse,2.1932949764742595,2.27680134724947,-1.765528286137775,2,chronos2
time/coastal_t_s_h_part06,chronos2,nmse,0.6943970612353749,0.6943970612353749,0.0,2,chronos2
time/coastal_t_s_h_part06,chronos_bolt,nmse,1.0312800894949645,0.6943970612353749,-47.941896663292184,2,chronos2
time/coastal_t_s_h_part06,chronos_t5,nmse,3.8070713214221454,0.6943970612353749,-451.6892579333868,2,chronos2
time/coastal_t_s_h_part06,ts_icl,nmse,0.7169516199815368,0.6943970612353749,-3.4181265079639385,2,chronos2
time/coastal_t_s_h_part07,chronos2,nmse,0.5734254401954635,0.5734254401954635,0.0,2,chronos2
time/coastal_t_s_h_part07,chronos_bolt,nmse,5.315603003690194,0.5734254401954635,-645.408690512834,2,chronos2
time/coastal_t_s_h_part07,chronos_t5,nmse,13293423606720.125,0.5734254401954635,-2542763130224945.0,2,chronos2
time/coastal_t_s_h_part07,ts_icl,nmse,0.5301083700097934,0.5734254401954635,5.757081832197058,2,chronos2
