dataset,lags,horizon,setting,metric,best_baseline,best_baseline_value,chronos_value,chronos_win_pct,tie_pct,windows
electricity,168,24,168:24,mse,repeat,2766960.8721439196,2215383.971565116,79.41937869822485,0.0,16224
electricity,168,24,168:24,mae,repeat,209.43533592143933,169.18777864221167,76.07864891518737,0.0,16224
electricity,168,24,168:24,nmse,lookback,0.7955504881331648,0.6294105067680767,78.7413708086785,0.0,16224
electricity,168,24,168:24,nmae,repeat,0.35031500730213894,0.25582433779804825,76.07864891518737,0.0,16224
electricity,168,24,168:24,mase,repeat,1.1237994313673567,0.804637501030438,76.07864891518737,0.0,16224
electricity,336,48,336:48,mse,repeat,3305188.152305908,1835071.6665952806,90.76168929110105,0.0,15912
electricity,336,48,336:48,mae,repeat,229.34814116551178,153.96335445501293,88.85746606334841,0.0,15912
electricity,336,48,336:48,nmse,lookback,0.33623729903187355,0.1756979641045388,86.93438914027149,0.0,15912
electricity,336,48,336:48,nmae,lookback,0.3382534355177539,0.2336778416074864,85.5455002513826,0.0,15912
electricity,336,48,336:48,mase,lookback,1.0907808495958666,0.7377397540752818,85.5455002513826,0.0,15912
electricity,504,168,504:168,mse,lookback,7295609.2259265315,6193218.12420886,87.44343891402715,0.0,15912
electricity,504,168,504:168,mae,lookback,237.44005163842374,207.3112562969369,85.52036199095022,0.0,15912
electricity,504,168,504:168,nmse,lookback,0.33508561598738507,0.24782998974360715,87.44343891402715,0.0,15912
electricity,504,168,504:168,nmae,lookback,0.3217372018694965,0.26566259994788693,85.52036199095022,0.0,15912
electricity,504,168,504:168,mase,lookback,1.0388921148974413,0.8588259020993976,85.52036199095022,0.0,15912
exchange_rate,7,1,7:1,mse,persistence,1.0495459564852585e-05,1.1084348728465565e-05,40.0,1.6666666666666667,120
exchange_rate,7,1,7:1,mae,persistence,0.0019935479310030737,0.0020669672444152336,40.0,1.6666666666666667,120
exchange_rate,7,1,7:1,nmse,persistence,2.927997055720334,3.0708646663063672,40.0,1.6666666666666667,120
exchange_rate,7,1,7:1,nmae,persistence,0.9201718807996561,0.948480170740125,40.0,1.6666666666666667,120
exchange_rate,7,1,7:1,mase,persistence,1.025712347527345,1.064432738147055,40.0,1.6666666666666667,120
exchange_rate,14,2,14:2,mse,persistence,4.0093872685320374e-05,4.4524595308501885e-05,41.66666666666667,1.6666666666666667,120
exchange_rate,14,2,14:2,mae,persistence,0.003448401156735296,0.0037891864446767914,40.0,1.6666666666666667,120
exchange_rate,14,2,14:2,nmse,persistence,2.472659484152488,2.576361401187023,41.66666666666667,1.6666666666666667,120
exchange_rate,14,2,14:2,nmae,persistence,0.9294890152445684,0.9863589935625593,40.0,1.6666666666666667,120
exchange_rate,14,2,14:2,mase,persistence,1.7227740895313521,1.8298807962642363,40.0,1.6666666666666667,120
exchange_rate,30,7,30:7,mse,persistence,6.841526772636861e-05,9.066011743186678e-05,40.0,1.6666666666666667,120
exchange_rate,30,7,30:7,mae,persistence,0.004963460998667794,0.005619979536959363,40.0,1.6666666666666667,120
exchange_rate,30,7,30:7,nmse,persistence,51.421948202194955,51.72946461009075,40.0,1.6666666666666667,120
exchange_rate,30,7,30:7,nmae,persistence,1.0872137611111006,1.1706804786032687,40.0,1.6666666666666667,120
exchange_rate,30,7,30:7,mase,persistence,2.8480757581690948,3.042461086095621,40.0,1.6666666666666667,120
solar,168,24,168:24,mse,repeat,656.7792384009113,465.7658514452498,64.92056676685273,0.0,2329
solar,168,24,168:24,mae,repeat,10.454036428532717,9.202932331044053,56.67668527264921,0.0,2329
solar,168,24,168:24,nmse,repeat,0.18874016704378735,0.13684123181239607,64.92056676685273,0.0,2329
solar,168,24,168:24,nmae,repeat,0.19055304104824558,0.16889955941627674,56.67668527264921,0.0,2329
solar,168,24,168:24,mase,repeat,0.835150654589659,0.7425216235549934,56.67668527264921,0.0,2329
solar,336,48,336:48,mse,lookback,1337.1101603602176,621.8689380900038,80.42078145126665,0.0,2329
solar,336,48,336:48,mae,lookback,16.022275794187088,11.147908747836007,75.44010304851868,0.0,2329
solar,336,48,336:48,nmse,lookback,0.4253813896450974,0.21039480244870404,80.42078145126665,0.0,2329
solar,336,48,336:48,nmae,lookback,0.3017084014795148,0.2125900430391279,75.44010304851868,0.0,2329
solar,336,48,336:48,mase,lookback,1.3503231403780578,0.9411595223760236,75.44010304851868,0.0,2329
solar,504,168,504:168,mse,lookback,1090.1645236776692,536.7973015543319,94.52554744525547,0.0,2192
solar,504,168,504:168,mae,lookback,14.378088339401858,10.50918381938534,88.77737226277372,0.0,2192
solar,504,168,504:168,nmse,lookback,0.3393222924838536,0.16538767368332177,94.52554744525547,0.0,2192
solar,504,168,504:168,nmae,lookback,0.26626328630100965,0.19478857760270038,88.77737226277372,0.0,2192
solar,504,168,504:168,mase,lookback,1.1773539578175023,0.8634245197703369,88.77737226277372,0.0,2192
time/coastal_t_s_h_part01,168,24,168:24,mse,expected,111.43413032841964,76.02237527711044,70.58823529411765,0.0,51
time/coastal_t_s_h_part01,168,24,168:24,mae,expected,4.606617834199877,3.6390325919743263,72.54901960784314,0.0,51
time/coastal_t_s_h_part01,168,24,168:24,nmse,expected,1.6454632381598155,1.1607089427176533,70.58823529411765,0.0,51
time/coastal_t_s_h_part01,168,24,168:24,nmae,persistence,0.936625780574247,0.7586410568807932,64.70588235294117,0.0,51
time/coastal_t_s_h_part01,168,24,168:24,mase,persistence,2.4147001890575184,2.0007123316035553,64.70588235294117,0.0,51
time/coastal_t_s_h_part01,336,48,336:48,mse,expected,65.44863865320683,59.702779412960204,52.083333333333336,0.0,48
time/coastal_t_s_h_part01,336,48,336:48,mae,expected,3.71921342399825,3.564131546280502,56.25,0.0,48
time/coastal_t_s_h_part01,336,48,336:48,nmse,expected,1.3386216536164284,1.280707077586764,52.083333333333336,0.0,48
time/coastal_t_s_h_part01,336,48,336:48,nmae,expected,0.8778222470233837,0.8219302241826275,56.25,0.0,48
time/coastal_t_s_h_part01,336,48,336:48,mase,expected,3.656227177629868,3.730986366669337,56.25,0.0,48
time/coastal_t_s_h_part01,504,168,504:168,mse,expected,240.7204049294087,205.22651198293883,64.58333333333334,0.0,48
time/coastal_t_s_h_part01,504,168,504:168,mae,expected,5.930333046533633,4.899637355149025,62.5,0.0,48
time/coastal_t_s_h_part01,504,168,504:168,nmse,expected,12.16662177319328,12.041129843448289,64.58333333333334,0.0,48
time/coastal_t_s_h_part01,504,168,504:168,nmae,expected,1.6607274617999792,1.4549593029854198,62.5,0.0,48
time/coastal_t_s_h_part01,504,168,504:168,mase,persistence,10.528171708186468,9.870550455370298,60.416666666666664,0.0,48
time/coastal_t_s_h_part02,168,24,168:24,mse,persistence,6.529006553562968,6.591815699830693,71.42857142857143,0.0,21
time/coastal_t_s_h_part02,168,24,168:24,mae,persistence,0.8215196276682296,0.6685848551846686,71.42857142857143,0.0,21
time/coastal_t_s_h_part02,168,24,168:24,nmse,persistence,1.3931207234660785,0.5894211765733504,71.42857142857143,0.0,21
time/coastal_t_s_h_part02,168,24,168:24,nmae,persistence,0.868677933656034,0.5418429786250705,71.42857142857143,0.0,21
time/coastal_t_s_h_part02,168,24,168:24,mase,persistence,2.892179645243145,2.205228254908607,71.42857142857143,0.0,21
time/coastal_t_s_h_part02,336,48,336:48,mse,expected,7.126314845834194,7.012861197332053,76.19047619047619,0.0,21
time/coastal_t_s_h_part02,336,48,336:48,mae,expected,0.8830123036168516,0.7516239447341788,71.42857142857143,0.0,21
time/coastal_t_s_h_part02,336,48,336:48,nmse,repeat,2.450929187593006,1.9084749630474973,85.71428571428571,0.0,21
time/coastal_t_s_h_part02,336,48,336:48,nmae,repeat,1.2197439003558386,0.8955890153135572,90.47619047619048,0.0,21
time/coastal_t_s_h_part02,336,48,336:48,mase,persistence,5.078079041980562,4.2840145627657575,80.95238095238095,0.0,21
time/coastal_t_s_h_part02,504,168,504:168,mse,persistence,3.2084310157418563,14.59888204597692,61.904761904761905,0.0,21
time/coastal_t_s_h_part02,504,168,504:168,mae,persistence,0.6136633144868981,1.096899976887341,61.904761904761905,0.0,21
time/coastal_t_s_h_part02,504,168,504:168,nmse,persistence,1.852220513081799,1.6399417558596248,61.904761904761905,0.0,21
time/coastal_t_s_h_part02,504,168,504:168,nmae,persistence,0.9956105039233253,0.8865128585270473,61.904761904761905,0.0,21
time/coastal_t_s_h_part02,504,168,504:168,mase,persistence,5.5066892167642,5.001297581763494,61.904761904761905,0.0,21
time/coastal_t_s_h_part03,168,24,168:24,mse,repeat,0.02959078908004033,0.0053388015503948,80.95238095238095,0.0,21
time/coastal_t_s_h_part03,168,24,168:24,mae,repeat,0.1097952529255833,0.04873121121809596,80.95238095238095,0.0,21
time/coastal_t_s_h_part03,168,24,168:24,nmse,repeat,0.5346958685134139,0.3198532796065722,80.95238095238095,0.0,21
