dataset,lags,horizon,covariate_mode,instance_normalize,remove_constant,stride,seed,setting,range,model,metric,value,reference_model,reference_value,improvement_pct
electricity,168,24,none,True,False,512,1,168:24,short,chronos2,nmse,0.6294105067680767,lookback,0.7955504881331648,20.88365023255172
electricity,168,24,none,True,False,512,1,168:24,short,expected,nmse,1.5240863998646956,lookback,0.7955504881331648,-91.57632640526813
electricity,168,24,none,True,False,512,1,168:24,short,lookback,nmse,0.7955504881331648,lookback,0.7955504881331648,0.0
electricity,168,24,none,True,False,512,1,168:24,short,persistence,nmse,2.1177012577949306,lookback,0.7955504881331648,-166.1931944463159
electricity,168,24,none,True,False,512,1,168:24,short,repeat,nmse,0.8147815350771465,lookback,0.7955504881331648,-2.417325767608941
electricity,336,48,none,True,False,512,1,336:48,mid,chronos2,nmse,0.1756979641045388,lookback,0.33623729903187355,47.745843601996235
electricity,336,48,none,True,False,512,1,336:48,mid,expected,nmse,1.0660662993926937,lookback,0.33623729903187355,-217.0577156259027
electricity,336,48,none,True,False,512,1,336:48,mid,lookback,nmse,0.33623729903187355,lookback,0.33623729903187355,0.0
electricity,336,48,none,True,False,512,1,336:48,mid,persistence,nmse,1.6515555947863791,lookback,0.33623729903187355,-391.18750345119213
electricity,336,48,none,True,False,512,1,336:48,mid,repeat,nmse,0.45388254496129254,lookback,0.33623729903187355,-34.98875534277559
electricity,504,168,none,True,False,512,1,504:168,long,chronos2,nmse,0.24782998974360715,lookback,0.33508561598738507,26.03980060041217
electricity,504,168,none,True,False,512,1,504:168,long,expected,nmse,1.1327530221912687,lookback,0.33508561598738507,-238.04883532628668
electricity,504,168,none,True,False,512,1,504:168,long,lookback,nmse,0.33508561598738507,lookback,0.33508561598738507,0.0
electricity,504,168,none,True,False,512,1,504:168,long,persistence,nmse,1.840177873808912,lookback,0.33508561598738507,-449.16647746472927
electricity,504,168,none,True,False,512,1,504:168,long,repeat,nmse,0.33508561598738507,lookback,0.33508561598738507,0.0
exchange_rate,7,1,none,True,False,512,1,7:1,short,chronos2,nmse,3.0708646663063672,persistence,2.927997055720334,-4.879363191534543
exchange_rate,7,1,none,True,False,512,1,7:1,short,expected,nmse,3.9546163269675163,persistence,2.927997055720334,-35.06216883796071
exchange_rate,7,1,none,True,False,512,1,7:1,short,lookback,nmse,5.908452355167295,persistence,2.927997055720334,-101.79160848622239
exchange_rate,7,1,none,True,False,512,1,7:1,short,persistence,nmse,2.927997055720334,persistence,2.927997055720334,0.0
exchange_rate,7,1,none,True,False,512,1,7:1,short,repeat,nmse,2.927997055720334,persistence,2.927997055720334,0.0
exchange_rate,14,2,none,True,False,512,1,14:2,mid,chronos2,nmse,2.576361401187023,persistence,2.472659484152488,-4.193942501956721
exchange_rate,14,2,none,True,False,512,1,14:2,mid,expected,nmse,4.0981317186999755,persistence,2.472659484152488,-65.73781165442695
exchange_rate,14,2,none,True,False,512,1,14:2,mid,lookback,nmse,4.920908363947334,persistence,2.472659484152488,-99.01277937726195
exchange_rate,14,2,none,True,False,512,1,14:2,mid,persistence,nmse,2.472659484152488,persistence,2.472659484152488,0.0
exchange_rate,14,2,none,True,False,512,1,14:2,mid,repeat,nmse,2.7941869551180085,persistence,2.472659484152488,-13.003305672544922
exchange_rate,30,7,none,True,False,512,1,30:7,long,chronos2,nmse,51.72946461009075,persistence,51.421948202194955,-0.5980255876082704
exchange_rate,30,7,none,True,False,512,1,30:7,long,expected,nmse,53.522645841013095,persistence,51.421948202194955,-4.0852159676215285
exchange_rate,30,7,none,True,False,512,1,30:7,long,lookback,nmse,52.20149751653274,persistence,51.421948202194955,-1.5159855695714581
exchange_rate,30,7,none,True,False,512,1,30:7,long,persistence,nmse,51.421948202194955,persistence,51.421948202194955,0.0
exchange_rate,30,7,none,True,False,512,1,30:7,long,repeat,nmse,52.20149751653274,persistence,51.421948202194955,-1.5159855695714581
