horizon,mse,std_mse,mae,std_mae,nmse,std_nmse,nmae,std_nmae,mase,std_mase
1,55738500.259649284,1444548213.3995376,867.5932664613798,7415.239874778708,0.8761821385865528,3.7834813129698612,0.7767840636388208,0.5222917352479379,2.6862684970415653,2.058079202814158
2,47335163.60803419,1325557192.3532984,861.5250105360694,6825.902039800386,0.9901015927218052,2.2940510971807524,0.8426162278942037,0.5292442583994121,2.9080577103108967,2.1022958728950982
3,51007118.19167501,1397912435.9034548,907.9882189725558,7083.973157284112,1.1342927360656596,2.9248727920029225,0.9207092022418593,0.5353384914008461,3.153573150645071,2.0966417484347817
4,54358459.229269505,1401821086.3162656,962.5375462465696,7309.718221113267,1.2873579934532218,1.5378648809210866,0.9938822773408886,0.5473171039108097,3.355564918344948,2.07303579633604
5,54642469.97205286,1388033299.91827,961.0988965317075,7329.308227156246,1.3277741255923003,1.6090597154542905,1.003548825533735,0.566271912935159,3.3572317315575195,2.070299178472661
6,55586710.784534976,1420499398.9839559,926.4362378558842,7397.866374107687,1.1621628184179469,1.7060583047421065,0.9243597520170505,0.5547268396389929,3.096548142561176,2.0566696179248027
7,52194786.4452754,1418830725.1114895,804.0528646358417,7179.713456242926,0.9075673911719392,2.5617399952455484,0.7828041265486207,0.5429411483905231,2.6095532711097085,2.000274152440973
8,48176368.821801774,1398152689.1020699,756.136773659483,6899.61054194803,0.8135992396386077,2.0115138515198336,0.7403284798588922,0.5152795181543246,2.5066224995796094,2.0196972969169384
9,52041855.6962918,1341052760.9024224,848.7503802522515,7163.9010594172905,0.8921932257006933,2.4269006896343197,0.7795278388157705,0.5334131372154766,2.691749048471537,2.168495754271983
10,42637121.38334678,1146102303.1993113,839.2718152011262,6475.5497159044135,1.0006205145150222,3.0941593547872626,0.8382451612063585,0.545862220286175,2.87993682083677,2.122089518798591
11,42601506.53497202,1153809485.5468433,866.1896945490737,6469.2520425808425,1.1103410356815127,3.152319843749379,0.9013887500097463,0.5457466052328175,3.08114824501981,2.13024145609888
12,46377276.49094418,1233288583.76119,915.8891377514065,6748.216327690688,1.241061668348051,2.4832548708181332,0.9637946847163665,0.558714125120908,3.2523305406562173,2.0882059396190744
13,49066434.06079874,1306022795.5970323,919.9399985613506,6944.072605659273,1.2775442282702738,2.7866421400700316,0.9726476487965816,0.5757610431455134,3.250470978846656,2.068923197175949
14,49926552.10412834,1344463864.3153946,884.4719645257509,7010.29683727762,1.0949267843406407,2.010490577170617,0.8910070646758268,0.5486649205911625,2.985743468711349,2.023916449977845
15,48937279.10507003,1393429181.1191695,775.0816313792199,6952.447618517694,0.8574284565085898,2.1389612109946583,0.7600522373451228,0.5289130861901913,2.53036987543139,1.943439136735732
16,46328490.47184954,1364828565.5045493,754.3960267451314,6764.567738745646,0.7920694333002843,1.897573017832079,0.7289971130803684,0.5105219312609118,2.471186852071291,1.9653246829307602
17,51889608.89518861,1362486068.3741302,845.6918076612711,7153.629421624581,0.8881595931968307,1.8421503833609272,0.7805455583772426,0.5281176235044216,2.697300179522245,2.086239234776152
18,42787972.491097495,1190788545.274877,841.6384658239007,6486.880373293234,1.0000227050674695,1.7920975020443939,0.8456263534876833,0.533796568061041,2.915858857846913,2.1293854069794382
19,45755106.763108864,1241370252.2438579,879.054294796461,6706.889758628528,1.1351136743660624,1.8960842068709514,0.9184944865608559,0.5398903147949673,3.1434884714792406,2.115963641563687
20,50257242.83849799,1303612808.9071994,938.0284576251496,7026.901563016457,1.3034804636739827,2.0791829265069848,0.9931138152938832,0.5632099191671921,3.3475428432688537,2.09708465168766
21,51761952.42435405,1365469723.5371504,939.8375815967928,7132.927734198433,1.3898019646475772,4.196984552084327,1.0081643845646133,0.6110699931146504,3.3682258900062783,2.2531942255240702
22,53619172.90164935,1470671408.2759135,904.5167833960135,7266.431206424796,1.1829453361928697,2.0737805507929536,0.9271248776120418,0.5686693219011721,3.10119860956625,2.0730492237454228
23,52194965.85660505,1535926878.9878204,787.650294153489,7181.543904113595,0.9091272573959239,1.8382957912562854,0.7895220513221872,0.5345859973663927,2.6227871893591734,1.9525575317380928
