horizon,mse,std_mse,mae,std_mae,nmse,std_nmse,nmae,std_nmae,mase,std_mase
1,0.03465934243424618,0.055024024429213135,0.1204762231735956,0.14193245485524433,0.13232004352695576,0.1766471271769996,0.2765713880459468,0.23628015455398638,0.9434791327941985,0.8173318579639268
2,0.13027800801986208,0.1969229565261039,0.2273050035749163,0.28037554572185214,0.4347899161446202,0.588349567216097,0.4748787048184091,0.45747145218082486,1.458762791894731,1.099897641496788
3,0.32199680189660285,0.6658478661027322,0.31779979524158297,0.4701064609095168,1.0509282581465196,1.8926794593171508,0.67579695644478,0.7708610281691978,2.0932849766243073,1.8269608931618573
4,0.45834519948541474,1.0949426904796746,0.3638236636207217,0.5709444276346104,1.3676999814675324,2.774667522734328,0.773489175098283,0.877162747956959,2.4785824914773307,2.044003396497241
5,0.4941481989704438,1.2648763499744284,0.3681091126941499,0.5988688347380133,1.3904862905314768,3.0617647455351116,0.72810816104036,0.9275477309462548,2.115046448828209,2.0915452515455484
6,0.41302122306175687,1.0649124453861372,0.3303426106770833,0.5512667144250403,1.128121133306108,2.415341149021967,0.694587000956138,0.8035359630807215,2.188275013651167,1.9003549861284748
7,0.39511050491585464,1.0163070348654915,0.3326620374407087,0.5333352436856579,1.1555236762117904,2.128090866189024,0.788252080568955,0.7308777779229654,2.7365598792121526,1.9237895158202807
8,0.4063046906861321,0.9385467961560879,0.3595193227132161,0.526355906630828,1.528491193195805,2.269713875880615,0.9369784098650727,0.8065746564759252,3.44051385919253,2.633747387426454
9,0.3665757475634261,0.7630294274926006,0.3665673392159598,0.4818756446715707,1.7449964754771263,2.640595637440433,0.999654487839767,0.8635319521412416,3.6938338293915702,3.228886452470847
10,0.2776243123698805,0.515128875165072,0.3269907633463542,0.41316020141979043,1.4829026874226874,2.5677285654396003,0.8676205547082991,0.8544807124525919,3.082170314022473,3.292382344063466
11,0.16272155491987222,0.2931878662170254,0.25642367771693636,0.3113975816572042,1.1671518927074171,2.124287294195226,0.7655177802911827,0.7623217291191061,2.8127470080341612,3.007410885180578
12,0.10538969353642426,0.15891596564454813,0.2176380157470703,0.2408804427395555,0.8056247805396284,1.103402212569056,0.6940819540371498,0.56910018859835,2.5982737615704536,2.207131219256743
13,0.09503454286078479,0.2548319904965819,0.16477148873465403,0.26054730295142275,0.3816580466338478,0.8130988425014238,0.4354920545149417,0.4381834185304241,1.6046819225663231,1.4657939782998173
14,0.1746421765823297,0.43305586918176503,0.22750936235700334,0.35054481882374733,0.7167590672061557,1.4197198021870518,0.6059546691498586,0.5912512204745815,2.2658301336424693,2.0528502551555547
15,0.2783168939432861,0.5617097578637662,0.31569998604910715,0.4226705762347634,1.3040973470280213,2.2503440122441725,0.8130021976927916,0.8019505946215939,2.951487968365351,2.8200936958523792
16,0.35160834114677053,0.671305973931266,0.3558812822614397,0.4742961726659901,1.4368936369351755,2.2821819934180487,0.8813961091495696,0.812425096131623,3.1673067540285134,2.7526669010813474
17,0.34739106468432945,0.6733366726965704,0.3538809276762463,0.471337833726389,1.286246926316207,1.9689516143864196,0.8649364736463342,0.7335746981355462,3.1419060673742067,2.5573410177163374
18,0.2829164702057564,0.5741793306144639,0.30649048941476004,0.43471835836610007,0.9677748389603082,1.3640332931717987,0.7727861589796486,0.6087498516247195,3.0266789228078865,2.375860637924377
19,0.21844369960100657,0.45153906344280265,0.2832287379673549,0.371786469888472,1.026848704534738,1.067732344239319,0.837202335308705,0.5709123856229588,3.5072278543597175,2.6948763451273736
20,0.21183778393398306,0.3982239607937852,0.2926334199451265,0.35525127537788703,1.554377645631099,2.761208583192921,0.929706450729143,0.8306765874433435,3.9203709697439555,3.7618464535810663
21,0.1983970276750846,0.34003104149187546,0.2920860108875093,0.33627784884899026,1.6876839680065001,2.9782675531041667,0.9762266769650436,0.8571262592102357,4.109609962928863,3.867720907389622
22,0.14839006246724498,0.25953395298170984,0.24393354143415177,0.2981383803364519,1.2508476749862893,2.4038112540742222,0.8036645767944199,0.7777987663046854,3.385914039931127,3.5492665623676802
23,0.06579766925590645,0.09520334458129645,0.17959512983049666,0.18314818825735898,0.8549433929424378,1.7752069998332831,0.650502470809789,0.6571072340486619,2.7468191037575402,3.087362964045452
24,0.00980938830443414,0.013631487660888238,0.07632873171851748,0.06311349345913,0.3634680479697722,0.8148605425066868,0.39893428586600793,0.45201713086973366,1.9728783324715637,2.6291624160121296
25,0.0857026850959907,0.2803758915245497,0.16510009765625,0.24175326759720828,0.6371950970164367,1.1089526074024003,0.5806219890004113,0.547789382791588,2.536695199353354,2.7159639432965
26,0.11859518595987797,0.27305882661984854,0.21601913088843935,0.2681994008635169,0.5519025707950017,0.8339529067258598,0.6114272088522003,0.42197078684997913,2.489300719329289,2.1915787413545953
27,0.19400369431657186,0.3012916195310932,0.28742835635230657,0.33374935637034037,0.8312753743181626,0.8992150842950396,0.7635804574404444,0.49821708732948794,2.91614524665333,2.1245277414351653
28,0.2815362698096405,0.5510860182924123,0.3108904702322824,0.42998067396956136,0.9645756386342415,1.3770371166136515,0.7560631155612922,0.6268526182009974,2.8413797993035543,2.36298457055444
29,0.3704619026497572,0.7974494191779061,0.3525667644682385,0.4961437167148899,1.1623960133500597,1.9718854345119625,0.8028567676388082,0.7195950524556834,2.8917018803102628,2.4290903816139338
30,0.4240905427439083,0.9142439463424745,0.38473338172549293,0.5254243737700814,1.4955197263597733,2.4229870594301666,0.9136378117615268,0.8128872417155351,3.1675944285733357,2.380114744272656
31,0.3782624727783037,0.9822994797765825,0.3091573261079334,0.5316805680414849,1.178387621628298,2.1163396118023003,0.7926941428865705,0.7416357462375194,3.092218665140016,2.5021832925979117
32,0.40597461190953343,0.9346811293055444,0.3648714338030134,0.5223441797214124,1.8001149138435721,2.519229761382645,1.0391706927191644,0.848669049940563,3.9861455275898887,2.950376658500771
33,0.4287780165059736,0.8769032463292429,0.397547858101981,0.5203207926234615,2.6903103166370697,4.358045304443739,1.1950532221013592,1.1234581199550158,4.59080847530138,4.291473666245277
34,0.34769870312551837,0.650766057194363,0.3730718521844773,0.4566356185132773,2.363711259904362,3.9386073177030387,1.1298375991838319,1.0426784042967803,4.348311763434183,4.056947412565197
35,0.25641115662888514,0.41571791934857355,0.3324335189092727,0.38196742516356486,2.0935624568483036,3.628300983919261,1.0590386914000625,0.9859003510861784,4.104905476527555,4.040766490729916
36,0.16262436035668498,0.26888593927985693,0.2658570607503255,0.3032233202189713,1.7466356319464034,3.1758791739019694,0.9585594699851104,0.9098347984002123,3.8634738340264274,3.7582885818230856
37,0.14028872861707073,0.24928929589617588,0.23671894981747582,0.29026344060672943,1.30245590956197,2.09767820245206,0.8558788144340118,0.7549353530114243,3.4264684376262484,3.036647396350527
38,0.15342911470950293,0.3650775081665973,0.22548130580357142,0.3202925148859826,1.2041913464532368,2.0262785758921527,0.8182419517210552,0.7312123164019492,3.2966751534314382,2.6814674555561826
39,0.22055799582033483,0.4525419758663437,0.2814522697812035,0.3759556046737227,1.4387245497089767,2.358221607434731,0.9118449631191435,0.7792710096336236,3.5738094328414824,2.8414648051096143
40,0.28143150257182287,0.4474436862391956,0.35208111717587426,0.3968253897380135,1.7172013620979019,2.342353900520362,1.0584797710180283,0.7725425072682784,4.1771091776234766,2.978080106319963
